50692,47391,43502,40724,37498,40250,32338,25725
344.66,367.26,289.8,334.26,857.33,738.76,820.05,372.62
764.62,1110.2,1962.6,2304,3101,3434.6,4244,4569.6
3.7518,2.4365,2.2391,3.286,3.3026,6.7544,6.3365,3.8521
42.15,43.59,43.4,44.57,41.26,41.25,42.4,45.28
0.93609,0.85393,0.8528,1.1828,1.4813,0.86894,1.101,0.96484
