0,19646,19577,19714,19750,19720,19794,19867,19901,19664,19744,19922,19743,19865,19918,19832,19703,19803,19559,19742,19858,19646,19886,19743,19764,19775,19578,19792,19829,19445,19662,19722,19787,19732,19742,19685,19519,19640,19369,19597,19672,19773,19653,19730,19548,19577,19608,19622,19487,19663,19607,19519,19565,19612,19575,19563,19495,19407,19699,19459,19558,19538,19753,19471,19540,19641,19496,19738,19662,19561,19492,19850,19625,19584,19788,19645,20066,19613,20146,19705,19951,19759,19977,19849,19727,20034,19882,19635,19737,19935,19657,19675,19889,19687,19905,19703,19847,19761,19807,19887,19724,
1,19686,19632,19763,19849,19693,19914,19931,19739,19724,19751,19813,19674,19868,19903,19817,19691,19754,19583,19733,19891,19692,19974,19711,19739,19868,19554,19826,19828,19522,19789,19755,19871,19794,19731,19721,19504,19636,19473,19634,19608,19760,19735,19709,19534,19633,19599,19694,19530,19670,19519,19569,19552,19582,19527,19543,19637,19418,19609,19363,19551,19519,19771,19525,19541,19737,19603,19905,19566,19763,19503,19792,19669,19558,19759,19691,19998,19513,20224,19776,19978,19680,19990,19814,19618,19963,19938,19641,19746,19959,19776,19666,19917,19674,19946,19713,19891,19825,19832,19858,19730,
2,19702,19806,19837,19883,19728,19905,19911,19717,19642,19746,19859,19709,19828,19873,19889,19726,19777,19597,19731,19835,19722,20045,19667,19713,19877,19592,19846,19825,19677,19803,19692,19914,19828,19680,19766,19596,19633,19550,19654,19631,19705,19735,19662,19497,19646,19585,19682,19696,19618,19370,19607,19517,19608,19567,19528,19755,19534,19528,19388,19694,19596,19816,19477,19549,19813,19701,19994,19574,19842,19572,19856,19635,19546,19802,19779,19935,19567,20220,19708,19925,19592,19991,19865,19602,19968,20003,19759,19724,19972,19773,19658,19788,19730,20076,19688,19949,19869,19850,19720,19731,
3,19710,19807,19928,19915,19640,20017,19872,19625,19846,19745,19853,19721,19854,19810,19956,19736,19560,19735,19730,19847,19794,19974,19712,19592,19832,19620,19920,19821,19773,19772,19680,19831,19838,19601,19788,19577,19631,19595,19667,19560,19695,19630,19574,19595,19679,19573,19641,19836,19634,19288,19668,19499,19622,19520,19521,19774,19569,19495,19479,19768,19580,19796,19487,19553,19861,19718,20053,19577,19969,19586,19754,19630,19539,19805,19828,19897,19648,20140,19616,19899,19573,19989,19876,19636,19954,20012,19879,19791,19884,19814,19657,19836,19722,20035,19633,19995,19847,19785,19680,19727,
4,19717,19995,19960,19903,19627,20170,19817,19670,19902,19745,19913,19795,19919,19702,20045,19736,19706,19749,19734,19743,19877,19971,19794,19737,19899,19606,19983,19816,19813,19816,19623,19729,19890,19563,19754,19639,19631,19645,19756,19550,19594,19538,19497,19595,19588,19561,19553,19899,19590,19345,19626,19427,19597,19518,19516,19769,19518,19542,19607,19859,19629,19823,19529,19555,19890,19679,20023,19612,19859,19561,19810,19604,19540,19897,19813,19916,19828,20086,19506,19893,19577,19982,19961,19665,20027,20043,19896,19884,19932,19749,19661,19905,19804,20036,19609,20028,19861,19692,19674,19724,
5,19690,20044,20039,19828,19570,20144,19767,19705,19924,19764,20002,19756,20004,19700,20129,19766,19771,19815,19774,19640,19820,19889,19879,19675,19874,19596,20047,19842,19809,19837,19597,19629,19847,19548,19740,19645,19660,19641,19786,19642,19714,19527,19514,19639,19559,19602,19579,19791,19547,19372,19684,19454,19701,19481,19526,19664,19526,19632,19705,19864,19715,19830,19533,19573,19887,19605,19942,19619,19820,19525,19861,19663,19585,19997,19730,19968,19948,19985,19404,19988,19598,20014,19867,19646,20030,20081,19957,19864,19852,19686,19720,19979,19834,20025,19675,20124,19790,19676,19790,19719,
6,19681,20043,20151,19805,19629,20143,19772,19718,19987,19769,20030,19751,20070,19763,20073,19759,19790,19892,19792,19642,19789,19838,19893,19634,19777,19584,20070,19858,19792,19795,19618,19733,19845,19603,19691,19693,19674,19694,19720,19677,19741,19489,19599,19687,19590,19617,19620,19675,19672,19419,19710,19434,19704,19485,19535,19607,19523,19786,19745,19855,19621,19952,19491,19585,19805,19525,19840,19672,19764,19564,19866,19520,19605,19946,19793,20014,20049,19919,19376,20075,19654,20026,19850,19696,20099,20025,19923,19884,19823,19618,19743,20023,19782,19968,19709,20062,19827,19684,19884,19721,
7,19671,19899,20206,19767,19659,20025,19754,19795,20004,19771,20078,19673,20053,19884,20111,19827,19963,19835,19816,19645,19759,19857,19851,19677,19799,19648,19958,19879,19736,19782,19649,19739,19847,19608,19711,19586,19692,19595,19793,19772,19843,19519,19675,19658,19602,19638,19792,19586,19661,19642,19714,19514,19668,19613,19547,19564,19521,19824,19705,19748,19640,19939,19485,19598,19749,19500,19711,19761,19772,19639,19983,19694,19629,20023,19826,20008,19964,19919,19484,20117,19651,20040,19858,19729,20171,20092,19972,19796,19940,19585,19770,20029,19820,20084,19737,20023,19866,19715,19937,19726,
8,19662,19886,20179,19758,19740,19957,19770,19876,19981,19774,20038,19697,20088,19798,20097,19762,19945,19801,19845,19806,19739,19769,19800,19783,19713,19690,19855,19904,19683,19787,19707,19762,19863,19640,19710,19650,19714,19598,19737,19774,19882,19508,19776,19593,19684,19662,19867,19252,19795,19617,19720,19617,19685,19561,19559,19581,19516,19868,19602,19651,19580,19948,19441,19615,19652,19590,19672,19770,19826,19684,20011,19672,19656,19982,19757,20089,19900,19988,19683,20084,19674,20056,19930,19715,20188,20099,19927,19768,20010,19684,19801,19975,19781,20067,19806,19974,19795,19768,20018,19733,
9,19660,19920,20132,19820,19714,19892,19824,19980,19998,19776,20015,19696,20027,19838,20088,19823,20004,19776,19873,19807,19784,19909,19762,19764,19689,19690,19791,19930,19686,19755,19712,19823,19909,19733,19725,19622,19735,19583,19748,19691,19870,19668,19798,19656,19804,19684,19754,19406,19727,19605,19733,19737,19717,19546,19570,19641,19467,19751,19516,19615,19537,19894,19464,19632,19731,19821,19743,19757,19956,19712,20054,19756,19678,19937,19787,20105,19804,20040,19820,20000,19658,20071,19933,19742,20112,20097,19901,19745,20054,19724,19827,19885,19815,20023,19749,20007,19760,19858,19961,19744,
